name,comment,terminationCondition,duration,deltaDuration,parameter.arka.speed,parameter.arka.sequencerType,parameter.arka.sequencerParams,parameter.putzini.move,parameter.putzini.height,parameter.putzini.head,parameter.putzini.audio,parameter.putzini.lamp,parameter.putzini.vacuum,parameter.player.play,parameter.player.stop,overallLight,parameter.beamer
Song 3  step 8 Mammaquel cavalleria rusticana(HoehepunktArie3),arka draws (bis drone),WaitForMusic,,,10.0,RandomDraw,"{""rMin"":200.0, ""rMax"":680.0, ""alphaMin"": -135.0, ""alphaMax"": 135.0}",,,,,,0,,,,
Song 3  step 9 Mammaquel cavalleria rusticana,"drone Übergag zu Song 4
36 sek",Duration,10.0,,10.0,RandomDrone,,"lookAtPos(0,0,70)",,,,,,,,,
Song 3  step 10 Mammaquel cavalleria rusticana,Beamer line,Duration,15.0,,,,,,100.0,,,,,,,,"{""Arka"": ""Als Körper bin ich die Plattform, auf der sich die politische Vorstellungskraft verkörpern kann - und nur das ist es, was am Subjekt-Körper, am lebendigen technoiden System zählt.""}"
Song 3  step 11 Mammaquel cavalleria rusticana(Drone4),Beamer line,WaitForMusic,,,,,,,,220.0,"{""folder"": ""New Peeps"", ""file"": ""curious_1.wav"", ""loop"": 0, ""vol"": 50}",,,,,,"{""Arka"": ""Mein Plattform-Körper, erschaffen aus eurer Vorstellungskraft. Und meine Vorstellungskraft erschafft unsere gemeinsame Utopie auf dieser leeren Fläche.""}"
Song 4 step 1 Deh tu bellanima i capuletti e i montecchi,arka draws zu musik ,Duration,15.0,5.0,15.0,RandomMove,,,,,"{""folder"": ""New Peeps"", ""file"": ""curious_1.wav"", ""loop"": 1, ""vol"": 70}","{""front"":{""r"":250,""g"":250, ""b"":250,""w"":50},""back"":{""r"":250, ""g"":250, ""b"":250}, ""effect"":""blinkOnce"",""freq"":5}",,,,,
Song 4 step 2 Deh tu bellanima i capuletti e i montecchi(BeginnArie4),arka bewegt sich,WaitForMusic,,,8.0,RandomMove,,,0.0,90.0,"{""folder"": ""New Peeps"", ""file"": ""dissapointed_1.wav"", ""loop"": 0, ""vol"": 50}",,,,,,"{""Clear"": """"}"
Song 4 step 3 Deh tu bellanima i capuletti e i montecchi,arka gets color,WaitForArka,,,,GetColor2,,,,,,,,,,,
Song 4 step 4 Deh tu bellanima i capuletti e i montecchi,arka malt,Duration,12.0,5.0,,RandomDraw,"{""rMin"":200.0, ""rMax"":680.0, ""alphaMin"": -135.0, ""alphaMax"": 135.0}","moveRandom(70,70,345,-220,220)",,,,,,,,,
Song 4 step 5 Deh tu bellanima i capuletti e i montecchi,arka gets color,WaitForArka,,,,GetColor2,,,,,,,1,,,,
Song 4 step 6 Deh tu bellanima i capuletti e i montecchi,arka malt,Duration,6.0,2.0,,RandomDraw,"{""rMin"":200.0, ""rMax"":680.0, ""alphaMin"": -135.0, ""alphaMax"": 135.0}",,,,,,0,,,,
Song 4 step 7 Deh tu bellanima i capuletti e i montecchi,arka bewegt sich,WaitForArka,,,,GetColor2,,,,,,,,,,,
Song 4 step 8 Deh tu bellanima i capuletti e i montecchi(BeginnDrone5),arka draws (bis drone),WaitForMusic,,,,RandomDraw,"{""rMin"":200.0, ""rMax"":680.0, ""alphaMin"": -135.0, ""alphaMax"": 135.0}",,,,,,,,,,
Song 4 step 9 Deh tu bellanima i capuletti e i montecchi,"drone Übergag zu Song 5
80 sek
IM KREIS OÄ?",Duration,15.0,,5.0,RandomDrone,,,,,,, ,,,,
Song 4 step 10 Deh tu bellanima i capuletti e i montecchi,warten auf Beamer Line,Duration,15.0,,,,,"lookAtPos(500,0,70)",,180.0,"{""folder"": ""New Peeps"", ""file"": ""curious_1.wav"", ""loop"": 0, ""vol"": 70}",,,,,,"{""Arka"": ""Als Körper bin ich die Plattform, auf der sich die politische Vorstellungskraft verkörpern kann - und nur das ist es, was am Subjekt-Körper, am lebendigen technoiden System zählt.""}"
